Date,Price,Open,High,Low,Vol.,Change %
22-Jun-14,12140.00,12230.00,12230.00,12050.00,0.00K,-0.01
15-Jun-14,12230.00,12230.00,12230.00,12230.00,0.00K,0.06
8-Jun-14,11525.00,11525.00,11525.00,11525.00,,0.00
1-Jun-14,11525.00,11525.00,11525.00,11525.00,,0.00
25-May-14,11525.00,11445.00,11610.00,11445.00,0.00K,0.03
18-May-14,11210.00,11210.00,11210.00,11210.00,,-0.03
11-May-14,11550.00,11600.00,11650.00,11200.00,5.67K,0.00
4-May-14,11605.00,11695.00,11795.00,11430.00,11.06K,-0.01
27-Apr-14,11670.00,11755.00,11840.00,11460.00,56.75K,-0.01
20-Apr-14,11845.00,11780.00,12035.00,11780.00,35.01K,0.01
13-Apr-14,11750.00,11630.00,11795.00,11605.00,30.51K,-0.01
6-Apr-14,11900.00,11900.00,11900.00,11900.00,0.01K,0.04
30-Mar-14,11450.00,11450.00,11450.00,11450.00,,0.01
23-Mar-14,11350.00,10860.00,11670.00,10860.00,0.05K,0.05
16-Mar-14,10805.00,10900.00,10900.00,10620.00,0.03K,-0.04
9-Mar-14,11235.00,11235.00,11235.00,11235.00,,0.00
2-Mar-14,11235.00,11235.00,11235.00,11235.00,,0.00
23-Feb-14,11235.00,11235.00,11235.00,11235.00,,0.00
16-Feb-14,11235.00,11400.00,11400.00,11400.00,0.00K,-0.01
9-Feb-14,11400.00,11400.00,11400.00,11400.00,,-0.02
2-Feb-14,11600.00,12295.00,12295.00,10905.00,0.00K,0.00
26-Jan-14,11600.00,11600.00,11600.00,11600.00,,0.00
19-Jan-14,11600.00,11700.00,11855.00,11425.00,0.05K,0.00
12-Jan-14,11625.00,11900.00,11900.00,11180.00,0.22K,-0.03
